,ddpg,rip,ospf,random
221,0.701175,0.802336,1.001217,0.902926
222,0.701924,1.101823,1.001575,0.800837
223,0.701396,1.001336,0.701813,1.502343
224,0.701342,0.801594,0.800808,0.901306
225,0.700574,1.00141,1.000702,1.201017
226,0.700928,0.800417,0.60118,0.90063
227,1.000524,0.800427,0.90094,0.801232
228,0.7027760000000001,0.601733,0.700814,1.301943
229,0.701286,0.800615,1.200942,0.700827
230,1.00151,0.701266,1.201495,0.902457
231,1.0014079999999999,1.200446,0.700678,0.801638
232,0.8015450000000001,0.70117,0.900322,1.001443
233,1.201222,0.701557,0.800896,0.800925
234,0.801064,0.9016179999999999,1.001425,1.00161
235,0.9005599999999999,1.1011179999999998,1.000858,0.800794
236,1.202127,0.801403,0.701269,0.700193
237,1.000645,0.700719,0.700798,0.802826
238,0.70128,0.801232,1.001124,0.801439
239,0.700481,1.101627,0.800958,0.90103
240,0.703199,1.3005749999999998,1.000929,1.101194
241,1.000684,0.800445,1.300893,0.801972
242,0.700763,1.0013189999999998,1.300513,1.202847
243,0.800956,1.002187,0.802874,0.901355
244,1.000711,0.800623,0.902642,1.001447
245,0.901452,0.801244,1.401059,1.001837
246,0.700855,1.001191,1.500618,1.001044
247,0.9005630000000001,0.800496,0.901105,1.200964
248,0.701456,0.901183,1.000722,0.800492
249,1.2018609999999998,1.200726,1.100954,1.201085
250,0.700766,0.802016,0.901326,1.002081
251,0.901123,0.9015449999999999,0.902153,0.801039
252,1.301022,0.702649,1.000784,1.301904
253,1.000529,1.2010139999999998,0.803206,1.400565
254,0.802156,1.100514,0.900709,1.101294
255,1.002568,0.703002,1.302207,0.80106
256,0.8010820000000001,1.002174,0.701203,1.201963
257,0.800918,0.9014780000000001,1.800883,1.301166
258,0.800842,1.001617,1.001528,1.600644
259,0.80101,0.8010550000000001,1.000983,1.400917
260,1.0012759999999998,0.9011049999999999,0.701356,1.000813
261,1.1004099999999999,1.1006639999999999,0.902379,1.001598
262,0.701105,0.70107,0.900721,0.900794
263,0.8010470000000001,0.802222,0.901976,1.002169
264,0.901477,0.80091,1.301093,0.701095
265,0.800913,1.501129,1.001715,1.100574
266,0.800955,0.800902,0.901892,1.000917
267,0.8010970000000001,0.801325,0.800624,1.000831
268,1.201492,0.801772,0.801001,1.201102
269,0.701322,1.303663,0.801746,1.200532
270,1.200419,0.801419,0.900863,0.901128
271,0.900691,0.800651,0.80125,1.301767
272,0.800521,0.700601,0.901361,1.001918
273,1.100711,1.0013159999999999,1.102491,1.101012
274,1.200693,1.3007369999999998,1.301954,0.900552
275,1.3012869999999999,1.201058,0.800331,0.700767
276,0.801216,0.801305,1.101042,0.900796
277,1.100472,1.202003,1.301829,1.300436
278,0.7011200000000001,0.801162,1.002997,0.800577
279,1.100493,1.000292,1.401542,0.901738
280,1.2015689999999999,1.001488,0.900938,0.802332
281,1.401681,1.401092,1.600601,1.600594
282,1.100547,1.0012869999999998,0.801172,0.800388
283,1.1009419999999999,1.101013,1.90129,1.006349
284,0.70152,1.4005189999999998,1.300671,2.500869
285,1.10055,0.8010510000000001,0.901878,1.200818
286,1.00112,0.901409,1.000701,1.302768
287,1.3011599999999999,0.9017590000000001,0.801434,1.200864
288,0.700752,0.901677,1.402228,1.501056
289,1.4010859999999998,1.00053,2.200804,0.800782
290,1.1005429999999998,1.302017,0.90101,1.201019
291,1.001628,1.400548,1.702117,0.901945
292,0.702038,0.900796,1.000984,1.201829
293,0.8010160000000001,0.800383,0.900994,1.501045
294,1.101284,0.9005170000000001,1.601096,1.001707
295,1.1008049999999998,1.0013509999999999,1.000857,1.300706
296,1.5015589999999999,1.001498,1.101024,0.900533
297,1.401203,0.9008889999999999,0.701526,1.302665
298,1.000818,1.001352,1.102588,1.200493
299,0.90135,0.90098,0.902319,1.101486
300,1.200872,1.2003249999999999,1.000578,0.901065
301,0.800921,1.101627,0.900826,1.200461
302,1.201395,1.3013789999999998,0.901035,1.000965
303,1.000494,1.1013339999999998,1.001205,0.801652
304,0.9007850000000001,0.80051,0.900562,1.302183
305,1.601597,1.1012,1.501648,1.201023
306,1.601478,1.301663,2.100814,1.400518
307,0.9015099999999999,1.300833,0.801767,0.900766
308,1.001158,0.8014330000000001,1.503127,1.100865
309,0.702453,1.2004739999999998,1.40145,1.401755
310,0.802211,0.9005710000000001,2.100732,1.000636
311,1.4027129999999999,1.4007649999999998,1.000811,1.700552
312,1.701509,1.201056,1.001013,1.202775
313,1.000838,1.100682,1.300496,1.400973
314,0.8007770000000001,0.80063,1.601696,1.201767
315,1.0008089999999998,1.00125,1.101336,1.401291
316,1.0013649999999998,0.801118,1.102607,1.100813
317,0.801538,2.101295,1.200577,1.200862
318,1.101148,1.0009899999999998,1.101475,1.500787
319,0.701186,1.20058,1.100826,0.901729
320,1.2015099999999999,0.9006390000000001,1.401677,1.001754
321,1.2008059999999998,1.3020269999999998,1.000916,1.601367
322,1.301238,1.2007889999999999,1.302699,1.401785
323,1.601294,1.701044,1.500817,1.100747
324,0.902532,0.800332,1.301177,1.101377
325,0.8003830000000001,0.900524,1.201242,2.200834
326,1.201643,1.101267,0.901099,0.900387
327,1.000834,1.101835,1.101033,0.901075
328,0.9008030000000001,1.4008049999999999,1.800773,1.400641
329,1.6006829999999999,1.2005059999999999,1.500788,1.101317
330,1.1013549999999999,1.503865,0.903024,1.001168
331,1.200693,0.801368,1.401506,1.901751
332,0.9009820000000001,0.801912,1.401188,1.200422
333,0.900643,1.1013039999999998,1.609554,1.200659
334,0.801227,1.202477,0.900714,1.200558
335,1.1021619999999999,1.10133,1.101241,1.200508
